feature,mean_abs_shap,group
TFIDF_SVD_2,0.37689018,TF-IDF/SVD lexical semantics
TFIDF_SVD_40,0.29803017,TF-IDF/SVD lexical semantics
TFIDF_SVD_3,0.24740152,TF-IDF/SVD lexical semantics
TFIDF_SVD_37,0.23233761,TF-IDF/SVD lexical semantics
MiniLM_emb_263,0.22512998,MiniLM semantic embedding
initial_priority_is_unknown,0.13084908,Initial-priority features
sig_crash,0.1275284,GraphLens impact signals
MiniLM_emb_48,0.12275554,MiniLM semantic embedding
TFIDF_SVD_4,0.12088246,TF-IDF/SVD lexical semantics
TFIDF_SVD_11,0.118902095,TF-IDF/SVD lexical semantics
TFIDF_SVD_52,0.10275979,TF-IDF/SVD lexical semantics
TFIDF_SVD_5,0.10197519,TF-IDF/SVD lexical semantics
MiniLM_emb_147,0.10049742,MiniLM semantic embedding
MiniLM_emb_77,0.09643704,MiniLM semantic embedding
initial_priority_is_unset,0.08792636,Initial-priority features
MiniLM_emb_306,0.08007211,MiniLM semantic embedding
MiniLM_emb_150,0.07930195,MiniLM semantic embedding
MiniLM_emb_148,0.07667368,MiniLM semantic embedding
TFIDF_SVD_28,0.07252225,TF-IDF/SVD lexical semantics
MiniLM_emb_130,0.07059998,MiniLM semantic embedding
MiniLM_emb_92,0.06979266,MiniLM semantic embedding
MiniLM_emb_126,0.0675952,MiniLM semantic embedding
TFIDF_SVD_17,0.06437849,TF-IDF/SVD lexical semantics
MiniLM_emb_368,0.063315526,MiniLM semantic embedding
TFIDF_SVD_145,0.06218602,TF-IDF/SVD lexical semantics
MiniLM_emb_344,0.060021438,MiniLM semantic embedding
TFIDF_SVD_131,0.058550615,TF-IDF/SVD lexical semantics
MiniLM_emb_181,0.058528524,MiniLM semantic embedding
MiniLM_emb_314,0.058173653,MiniLM semantic embedding
MiniLM_emb_370,0.056814134,MiniLM semantic embedding
sig_attachment,0.05648652,GraphLens impact signals
MiniLM_emb_320,0.05607169,MiniLM semantic embedding
TFIDF_SVD_63,0.054292846,TF-IDF/SVD lexical semantics
TFIDF_SVD_15,0.05426396,TF-IDF/SVD lexical semantics
MiniLM_emb_16,0.054207228,MiniLM semantic embedding
MiniLM_emb_32,0.053405866,MiniLM semantic embedding
MiniLM_emb_292,0.051960513,MiniLM semantic embedding
MiniLM_emb_332,0.051484875,MiniLM semantic embedding
MiniLM_emb_321,0.05138209,MiniLM semantic embedding
TFIDF_SVD_110,0.051153265,TF-IDF/SVD lexical semantics
MiniLM_emb_46,0.050551947,MiniLM semantic embedding
MiniLM_emb_103,0.05047099,MiniLM semantic embedding
TFIDF_SVD_181,0.05011841,TF-IDF/SVD lexical semantics
TFIDF_SVD_35,0.049747422,TF-IDF/SVD lexical semantics
TFIDF_SVD_227,0.049696226,TF-IDF/SVD lexical semantics
TFIDF_SVD_21,0.049578305,TF-IDF/SVD lexical semantics
MiniLM_emb_43,0.049312383,MiniLM semantic embedding
MiniLM_emb_247,0.04822925,MiniLM semantic embedding
MiniLM_emb_359,0.047686774,MiniLM semantic embedding
MiniLM_emb_120,0.04643593,MiniLM semantic embedding
MiniLM_emb_91,0.045234267,MiniLM semantic embedding
TFIDF_SVD_6,0.045210294,TF-IDF/SVD lexical semantics
MiniLM_emb_255,0.04482946,MiniLM semantic embedding
MiniLM_emb_119,0.044714656,MiniLM semantic embedding
MiniLM_emb_0,0.044118874,MiniLM semantic embedding
MiniLM_emb_149,0.04354042,MiniLM semantic embedding
TFIDF_SVD_187,0.04301477,TF-IDF/SVD lexical semantics
MiniLM_emb_96,0.042991176,MiniLM semantic embedding
MiniLM_emb_308,0.042831752,MiniLM semantic embedding
MiniLM_emb_191,0.04245607,MiniLM semantic embedding
summary_len_safe_log,0.04217456,Process/text metadata
TFIDF_SVD_99,0.04209601,TF-IDF/SVD lexical semantics
MiniLM_emb_295,0.04144474,MiniLM semantic embedding
MiniLM_emb_286,0.04133681,MiniLM semantic embedding
MiniLM_emb_11,0.04078781,MiniLM semantic embedding
MiniLM_emb_86,0.040669054,MiniLM semantic embedding
TFIDF_SVD_234,0.04054063,TF-IDF/SVD lexical semantics
TFIDF_SVD_70,0.040406406,TF-IDF/SVD lexical semantics
MiniLM_emb_342,0.04025248,MiniLM semantic embedding
MiniLM_emb_259,0.039546717,MiniLM semantic embedding
MiniLM_emb_363,0.03930085,MiniLM semantic embedding
MiniLM_emb_169,0.039007857,MiniLM semantic embedding
MiniLM_emb_87,0.03827947,MiniLM semantic embedding
MiniLM_emb_316,0.03825498,MiniLM semantic embedding
MiniLM_emb_280,0.03824063,MiniLM semantic embedding
MiniLM_emb_179,0.03795127,MiniLM semantic embedding
MiniLM_emb_324,0.03789334,MiniLM semantic embedding
MiniLM_emb_197,0.037502337,MiniLM semantic embedding
MiniLM_emb_155,0.036749206,MiniLM semantic embedding
uppercase_ratio,0.036026422,Other engineered metadata
MiniLM_emb_64,0.03554176,MiniLM semantic embedding
MiniLM_emb_301,0.035533253,MiniLM semantic embedding
TFIDF_SVD_1,0.03540305,TF-IDF/SVD lexical semantics
MiniLM_emb_252,0.03521252,MiniLM semantic embedding
TFIDF_SVD_195,0.03515604,TF-IDF/SVD lexical semantics
MiniLM_emb_146,0.035105076,MiniLM semantic embedding
TFIDF_SVD_73,0.034878705,TF-IDF/SVD lexical semantics
initial_priority_rank_model,0.034606017,Initial-priority features
MiniLM_emb_249,0.034488644,MiniLM semantic embedding
MiniLM_emb_235,0.034436118,MiniLM semantic embedding
TFIDF_SVD_224,0.03438779,TF-IDF/SVD lexical semantics
MiniLM_emb_163,0.034158755,MiniLM semantic embedding
MiniLM_emb_231,0.03347175,MiniLM semantic embedding
TFIDF_SVD_138,0.033358555,TF-IDF/SVD lexical semantics
MiniLM_emb_107,0.032819346,MiniLM semantic embedding
MiniLM_emb_100,0.032788433,MiniLM semantic embedding
TFIDF_SVD_250,0.032718956,TF-IDF/SVD lexical semantics
MiniLM_emb_331,0.032348543,MiniLM semantic embedding
MiniLM_emb_188,0.032084826,MiniLM semantic embedding
MiniLM_emb_20,0.031736776,MiniLM semantic embedding
MiniLM_emb_189,0.031625275,MiniLM semantic embedding
MiniLM_emb_73,0.031546064,MiniLM semantic embedding
initial_priority_urgency_score,0.030712476,Initial-priority features
MiniLM_emb_152,0.030479603,MiniLM semantic embedding
MiniLM_emb_71,0.030124718,MiniLM semantic embedding
TFIDF_SVD_14,0.030111818,TF-IDF/SVD lexical semantics
MiniLM_emb_34,0.02992357,MiniLM semantic embedding
MiniLM_emb_338,0.0299139,MiniLM semantic embedding
TFIDF_SVD_22,0.02980855,TF-IDF/SVD lexical semantics
MiniLM_emb_367,0.02968419,MiniLM semantic embedding
MiniLM_emb_329,0.029646467,MiniLM semantic embedding
TFIDF_SVD_122,0.02947209,TF-IDF/SVD lexical semantics
MiniLM_emb_300,0.029468378,MiniLM semantic embedding
TFIDF_SVD_44,0.02943417,TF-IDF/SVD lexical semantics
TFIDF_SVD_78,0.02943238,TF-IDF/SVD lexical semantics
MiniLM_emb_311,0.029208014,MiniLM semantic embedding
TFIDF_SVD_128,0.029181914,TF-IDF/SVD lexical semantics
MiniLM_emb_85,0.02912927,MiniLM semantic embedding
MiniLM_emb_297,0.029064601,MiniLM semantic embedding
TFIDF_SVD_235,0.028984636,TF-IDF/SVD lexical semantics
MiniLM_emb_8,0.028820984,MiniLM semantic embedding
MiniLM_emb_5,0.028155604,MiniLM semantic embedding
MiniLM_emb_217,0.02814487,MiniLM semantic embedding
TFIDF_SVD_7,0.02736694,TF-IDF/SVD lexical semantics
MiniLM_emb_59,0.026716115,MiniLM semantic embedding
TFIDF_SVD_27,0.026537234,TF-IDF/SVD lexical semantics
MiniLM_emb_210,0.02650052,MiniLM semantic embedding
TFIDF_SVD_92,0.026468664,TF-IDF/SVD lexical semantics
TFIDF_SVD_82,0.0263535,TF-IDF/SVD lexical semantics
word_count,0.026281651,Other engineered metadata
MiniLM_emb_15,0.026181057,MiniLM semantic embedding
MiniLM_emb_257,0.026012357,MiniLM semantic embedding
MiniLM_emb_3,0.026006883,MiniLM semantic embedding
MiniLM_emb_171,0.025978284,MiniLM semantic embedding
MiniLM_emb_276,0.025712777,MiniLM semantic embedding
TFIDF_SVD_218,0.025595123,TF-IDF/SVD lexical semantics
TFIDF_SVD_25,0.024839703,TF-IDF/SVD lexical semantics
MiniLM_emb_274,0.024493005,MiniLM semantic embedding
TFIDF_SVD_12,0.024237404,TF-IDF/SVD lexical semantics
TFIDF_SVD_229,0.024178091,TF-IDF/SVD lexical semantics
MiniLM_emb_52,0.024056321,MiniLM semantic embedding
TFIDF_SVD_103,0.023989487,TF-IDF/SVD lexical semantics
TFIDF_SVD_165,0.023972616,TF-IDF/SVD lexical semantics
TFIDF_SVD_74,0.023930343,TF-IDF/SVD lexical semantics
TFIDF_SVD_68,0.023929391,TF-IDF/SVD lexical semantics
TFIDF_SVD_42,0.023927128,TF-IDF/SVD lexical semantics
MiniLM_emb_237,0.023587616,MiniLM semantic embedding
TFIDF_SVD_164,0.023563592,TF-IDF/SVD lexical semantics
MiniLM_emb_45,0.023488149,MiniLM semantic embedding
MiniLM_emb_4,0.02347932,MiniLM semantic embedding
MiniLM_emb_350,0.022987047,MiniLM semantic embedding
TFIDF_SVD_143,0.022914892,TF-IDF/SVD lexical semantics
TFIDF_SVD_188,0.022855256,TF-IDF/SVD lexical semantics
TFIDF_SVD_211,0.022794558,TF-IDF/SVD lexical semantics
TFIDF_SVD_95,0.022671843,TF-IDF/SVD lexical semantics
TFIDF_SVD_156,0.022471974,TF-IDF/SVD lexical semantics
MiniLM_emb_68,0.022325173,MiniLM semantic embedding
MiniLM_emb_266,0.022301406,MiniLM semantic embedding
MiniLM_emb_138,0.022029515,MiniLM semantic embedding
TFIDF_SVD_36,0.02194808,TF-IDF/SVD lexical semantics
MiniLM_emb_162,0.021887269,MiniLM semantic embedding
MiniLM_emb_347,0.021651428,MiniLM semantic embedding
MiniLM_emb_224,0.02142159,MiniLM semantic embedding
MiniLM_emb_84,0.021263521,MiniLM semantic embedding
TFIDF_SVD_246,0.021261023,TF-IDF/SVD lexical semantics
MiniLM_emb_383,0.02081921,MiniLM semantic embedding
MiniLM_emb_117,0.020735148,MiniLM semantic embedding
MiniLM_emb_238,0.02033102,MiniLM semantic embedding
MiniLM_emb_282,0.020246001,MiniLM semantic embedding
TFIDF_SVD_26,0.020150281,TF-IDF/SVD lexical semantics
MiniLM_emb_124,0.020108422,MiniLM semantic embedding
TFIDF_SVD_19,0.019951668,TF-IDF/SVD lexical semantics
TFIDF_SVD_232,0.019874023,TF-IDF/SVD lexical semantics
TFIDF_SVD_32,0.019871753,TF-IDF/SVD lexical semantics
MiniLM_emb_346,0.01967426,MiniLM semantic embedding
TFIDF_SVD_115,0.019614829,TF-IDF/SVD lexical semantics
MiniLM_emb_310,0.019512616,MiniLM semantic embedding
TFIDF_SVD_136,0.019406894,TF-IDF/SVD lexical semantics
TFIDF_SVD_242,0.019405624,TF-IDF/SVD lexical semantics
MiniLM_emb_204,0.019375246,MiniLM semantic embedding
MiniLM_emb_62,0.019356588,MiniLM semantic embedding
MiniLM_emb_328,0.019174283,MiniLM semantic embedding
MiniLM_emb_193,0.01910646,MiniLM semantic embedding
MiniLM_emb_116,0.019082097,MiniLM semantic embedding
MiniLM_emb_352,0.018986357,MiniLM semantic embedding
MiniLM_emb_22,0.018959029,MiniLM semantic embedding
MiniLM_emb_175,0.018764218,MiniLM semantic embedding
TFIDF_SVD_126,0.018609295,TF-IDF/SVD lexical semantics
TFIDF_SVD_61,0.018527104,TF-IDF/SVD lexical semantics
TFIDF_SVD_41,0.018424898,TF-IDF/SVD lexical semantics
MiniLM_emb_18,0.01836645,MiniLM semantic embedding
TFIDF_SVD_31,0.018354798,TF-IDF/SVD lexical semantics
MiniLM_emb_14,0.018169142,MiniLM semantic embedding
MiniLM_emb_19,0.018165514,MiniLM semantic embedding
MiniLM_emb_185,0.017896336,MiniLM semantic embedding
MiniLM_emb_348,0.017793985,MiniLM semantic embedding
TFIDF_SVD_240,0.017462378,TF-IDF/SVD lexical semantics
TFIDF_SVD_185,0.01745973,TF-IDF/SVD lexical semantics
MiniLM_emb_357,0.017377475,MiniLM semantic embedding
MiniLM_emb_82,0.017296854,MiniLM semantic embedding
MiniLM_emb_111,0.01720291,MiniLM semantic embedding
MiniLM_emb_47,0.016898802,MiniLM semantic embedding
MiniLM_emb_230,0.016796794,MiniLM semantic embedding
MiniLM_emb_272,0.016755195,MiniLM semantic embedding
MiniLM_emb_112,0.016663868,MiniLM semantic embedding
MiniLM_emb_254,0.01665541,MiniLM semantic embedding
TFIDF_SVD_182,0.01660732,TF-IDF/SVD lexical semantics
MiniLM_emb_21,0.016588528,MiniLM semantic embedding
MiniLM_emb_372,0.016431041,MiniLM semantic embedding
MiniLM_emb_23,0.016419837,MiniLM semantic embedding
MiniLM_emb_239,0.016315145,MiniLM semantic embedding
TFIDF_SVD_190,0.016315013,TF-IDF/SVD lexical semantics
MiniLM_emb_296,0.016302979,MiniLM semantic embedding
MiniLM_emb_211,0.016167615,MiniLM semantic embedding
MiniLM_emb_36,0.016043864,MiniLM semantic embedding
MiniLM_emb_166,0.015960705,MiniLM semantic embedding
TFIDF_SVD_220,0.015551048,TF-IDF/SVD lexical semantics
MiniLM_emb_253,0.01551924,MiniLM semantic embedding
MiniLM_emb_80,0.015481186,MiniLM semantic embedding
TFIDF_SVD_206,0.015415024,TF-IDF/SVD lexical semantics
TFIDF_SVD_107,0.015408971,TF-IDF/SVD lexical semantics
MiniLM_emb_42,0.015394579,MiniLM semantic embedding
MiniLM_emb_99,0.015301583,MiniLM semantic embedding
MiniLM_emb_133,0.015290282,MiniLM semantic embedding
TFIDF_SVD_239,0.015274419,TF-IDF/SVD lexical semantics
TFIDF_SVD_155,0.015199449,TF-IDF/SVD lexical semantics
MiniLM_emb_262,0.014996718,MiniLM semantic embedding
MiniLM_emb_114,0.014958028,MiniLM semantic embedding
TFIDF_SVD_238,0.014837368,TF-IDF/SVD lexical semantics
TFIDF_SVD_116,0.01447088,TF-IDF/SVD lexical semantics
MiniLM_emb_194,0.0143688675,MiniLM semantic embedding
MiniLM_emb_184,0.0143533675,MiniLM semantic embedding
TFIDF_SVD_119,0.014185332,TF-IDF/SVD lexical semantics
MiniLM_emb_180,0.014170199,MiniLM semantic embedding
MiniLM_emb_284,0.0140226325,MiniLM semantic embedding
MiniLM_emb_322,0.014004894,MiniLM semantic embedding
sig_ui_minor,0.013924419,GraphLens impact signals
MiniLM_emb_67,0.013919943,MiniLM semantic embedding
TFIDF_SVD_133,0.013908198,TF-IDF/SVD lexical semantics
MiniLM_emb_61,0.013886884,MiniLM semantic embedding
TFIDF_SVD_29,0.013599102,TF-IDF/SVD lexical semantics
MiniLM_emb_90,0.0135605745,MiniLM semantic embedding
has_steps_to_reproduce,0.01353526,Process/text metadata
MiniLM_emb_293,0.013533895,MiniLM semantic embedding
MiniLM_emb_74,0.013507987,MiniLM semantic embedding
MiniLM_emb_365,0.013363314,MiniLM semantic embedding
TFIDF_SVD_117,0.013363018,TF-IDF/SVD lexical semantics
MiniLM_emb_110,0.013299457,MiniLM semantic embedding
MiniLM_emb_216,0.013269795,MiniLM semantic embedding
TFIDF_SVD_48,0.013176868,TF-IDF/SVD lexical semantics
MiniLM_emb_277,0.01314929,MiniLM semantic embedding
MiniLM_emb_172,0.013149118,MiniLM semantic embedding
MiniLM_emb_7,0.013131493,MiniLM semantic embedding
TFIDF_SVD_184,0.0131067755,TF-IDF/SVD lexical semantics
MiniLM_emb_222,0.013019747,MiniLM semantic embedding
MiniLM_emb_153,0.013009981,MiniLM semantic embedding
MiniLM_emb_219,0.012963424,MiniLM semantic embedding
TFIDF_SVD_208,0.012935433,TF-IDF/SVD lexical semantics
MiniLM_emb_190,0.0127947,MiniLM semantic embedding
TFIDF_SVD_53,0.012785846,TF-IDF/SVD lexical semantics
TFIDF_SVD_231,0.0127288,TF-IDF/SVD lexical semantics
TFIDF_SVD_132,0.0126757305,TF-IDF/SVD lexical semantics
TFIDF_SVD_112,0.012572486,TF-IDF/SVD lexical semantics
MiniLM_emb_281,0.012509349,MiniLM semantic embedding
MiniLM_emb_186,0.012458642,MiniLM semantic embedding
MiniLM_emb_290,0.012414503,MiniLM semantic embedding
MiniLM_emb_248,0.012398665,MiniLM semantic embedding
MiniLM_emb_158,0.012323848,MiniLM semantic embedding
graphlens_signal_count,0.012134814,GraphLens impact signals
TFIDF_SVD_113,0.012071968,TF-IDF/SVD lexical semantics
TFIDF_SVD_13,0.012048298,TF-IDF/SVD lexical semantics
MiniLM_emb_213,0.012034252,MiniLM semantic embedding
MiniLM_emb_50,0.011916023,MiniLM semantic embedding
TFIDF_SVD_72,0.0118865585,TF-IDF/SVD lexical semantics
MiniLM_emb_173,0.011874154,MiniLM semantic embedding
MiniLM_emb_75,0.011843431,MiniLM semantic embedding
TFIDF_SVD_50,0.011814623,TF-IDF/SVD lexical semantics
MiniLM_emb_298,0.011793843,MiniLM semantic embedding
MiniLM_emb_341,0.01175494,MiniLM semantic embedding
TFIDF_SVD_137,0.011709458,TF-IDF/SVD lexical semantics
punctuation_density,0.011636278,Other engineered metadata
MiniLM_emb_159,0.011596267,MiniLM semantic embedding
TFIDF_SVD_173,0.011580572,TF-IDF/SVD lexical semantics
TFIDF_SVD_0,0.011575387,TF-IDF/SVD lexical semantics
MiniLM_emb_243,0.011573983,MiniLM semantic embedding
TFIDF_SVD_39,0.0113481525,TF-IDF/SVD lexical semantics
MiniLM_emb_198,0.011320913,MiniLM semantic embedding
TFIDF_SVD_24,0.011308592,TF-IDF/SVD lexical semantics
TFIDF_SVD_201,0.011272328,TF-IDF/SVD lexical semantics
TFIDF_SVD_129,0.0112597495,TF-IDF/SVD lexical semantics
MiniLM_emb_327,0.011259326,MiniLM semantic embedding
MiniLM_emb_256,0.011229451,MiniLM semantic embedding
TFIDF_SVD_223,0.0110984,TF-IDF/SVD lexical semantics
MiniLM_emb_69,0.0109726265,MiniLM semantic embedding
TFIDF_SVD_47,0.0108868005,TF-IDF/SVD lexical semantics
TFIDF_SVD_144,0.010741235,TF-IDF/SVD lexical semantics
TFIDF_SVD_120,0.01067881,TF-IDF/SVD lexical semantics
MiniLM_emb_176,0.010670817,MiniLM semantic embedding
MiniLM_emb_335,0.010396365,MiniLM semantic embedding
MiniLM_emb_144,0.010377294,MiniLM semantic embedding
TFIDF_SVD_64,0.010372612,TF-IDF/SVD lexical semantics
TFIDF_SVD_87,0.0103151575,TF-IDF/SVD lexical semantics
MiniLM_emb_31,0.010182997,MiniLM semantic embedding
MiniLM_emb_267,0.01017359,MiniLM semantic embedding
MiniLM_emb_340,0.01004402,MiniLM semantic embedding
MiniLM_emb_305,0.009972554,MiniLM semantic embedding
MiniLM_emb_115,0.009891446,MiniLM semantic embedding
MiniLM_emb_226,0.009865462,MiniLM semantic embedding
TFIDF_SVD_80,0.009798079,TF-IDF/SVD lexical semantics
initial_priority_is_p1,0.009775433,Initial-priority features
TFIDF_SVD_8,0.009771879,TF-IDF/SVD lexical semantics
MiniLM_emb_313,0.009765712,MiniLM semantic embedding
MiniLM_emb_143,0.009758898,MiniLM semantic embedding
MiniLM_emb_17,0.009724724,MiniLM semantic embedding
MiniLM_emb_53,0.009407471,MiniLM semantic embedding
MiniLM_emb_285,0.00937362,MiniLM semantic embedding
MiniLM_emb_55,0.009322538,MiniLM semantic embedding
TFIDF_SVD_71,0.009298874,TF-IDF/SVD lexical semantics
MiniLM_emb_70,0.0092967395,MiniLM semantic embedding
TFIDF_SVD_45,0.00921194,TF-IDF/SVD lexical semantics
TFIDF_SVD_226,0.009195101,TF-IDF/SVD lexical semantics
TFIDF_SVD_83,0.00916785,TF-IDF/SVD lexical semantics
MiniLM_emb_366,0.009140591,MiniLM semantic embedding
MiniLM_emb_54,0.009123626,MiniLM semantic embedding
MiniLM_emb_205,0.009092023,MiniLM semantic embedding
MiniLM_emb_93,0.009049063,MiniLM semantic embedding
MiniLM_emb_164,0.009042672,MiniLM semantic embedding
TFIDF_SVD_23,0.0090339575,TF-IDF/SVD lexical semantics
TFIDF_SVD_153,0.008964935,TF-IDF/SVD lexical semantics
MiniLM_emb_355,0.008955993,MiniLM semantic embedding
TFIDF_SVD_170,0.008762238,TF-IDF/SVD lexical semantics
MiniLM_emb_264,0.008723466,MiniLM semantic embedding
MiniLM_emb_203,0.008683533,MiniLM semantic embedding
TFIDF_SVD_151,0.0085853385,TF-IDF/SVD lexical semantics
MiniLM_emb_29,0.008495854,MiniLM semantic embedding
TFIDF_SVD_243,0.008445531,TF-IDF/SVD lexical semantics
TFIDF_SVD_172,0.00843318,TF-IDF/SVD lexical semantics
MiniLM_emb_199,0.008359646,MiniLM semantic embedding
TFIDF_SVD_125,0.008293219,TF-IDF/SVD lexical semantics
TFIDF_SVD_216,0.008256707,TF-IDF/SVD lexical semantics
MiniLM_emb_270,0.008237067,MiniLM semantic embedding
MiniLM_emb_302,0.008162602,MiniLM semantic embedding
MiniLM_emb_265,0.008087961,MiniLM semantic embedding
TFIDF_SVD_174,0.007961159,TF-IDF/SVD lexical semantics
MiniLM_emb_39,0.007887133,MiniLM semantic embedding
TFIDF_SVD_183,0.007853648,TF-IDF/SVD lexical semantics
MiniLM_emb_104,0.00783435,MiniLM semantic embedding
TFIDF_SVD_167,0.0078329295,TF-IDF/SVD lexical semantics
